codigo,populacao
355620110,8717
3519071024,5764
3536505002,1195
3519071026,17840
3536505001,1252
3536505018,206
3536505019,1809
35095090,105720
3536505021,2334
3536505024,1064
3519071017,3390
3519071018,20616
3533403002,208
3533403007,2524
3536505008,1009
3536505009,1737
3536505029,27
3536505039,2356
3519071012,1039
3519071015,4662
3533403012,1845
3533403017,581
3552403001,51200
3519071019,194
3533403009,2688
3536505020,39
3536505026,2522
355620111,101404
3536505034,2301
355670116,20931
355670117,15113
3536505025,118
3519071004,4451
3533403011,3615
3519071016,20653
3519071022,6262
3536505028,433
3552403003,41304
35095070,62735
355620112,9315
35095080,6139
3519071005,1159
3519071008,8594
3533403001,685
3533403005,2816
3536505031,334
3536505033,5140
3533403014,2913
35095067,60786
35095083,1569
355620113,2727
355670115,1094
355670119,1081
3519071020,4631
3519071027,1215
3533403008,7141
3533403010,9715
3533403013,1333
3533403015,4878
3536505010,12334
3519071006,8121
3536505003,1422
3519071007,4911
3533403004,143
3536505005,1672
3536505007,1711
35095082,3614
3536505015,667
3536505023,3400
3536505027,1136
3519071009,12057
35095071,14781
3536505004,1976
3536505012,2049
3536505038,223
35095065,57756
35095084,19421
35095072,52882
35095073,290
355670118,17354
35095078,38740
35095089,141490
3519071029,3
3519071001,9779
3519071014,4185
3536505022,6820
3519071003,1982
35095075,23892
3533403006,7347
35095081,5424
3536505016,6560
3536505032,1298
3536505035,48
3536505036,2605
3519071002,2555
3536505006,1992
3536505017,18082
3536505030,294
3536505037,11204
3519071025,21943
35095074,52376
3533403003,2099
3519071010,42551
3519071011,120
3552403005,43032
3519071013,1177
35095064,74062
3519071021,4970
35095066,86361
35095079,13188
35095085,14056
355670114,18282
3536505011,631
3552403004,56902
3552403002,38351
35095068,67263
35095076,112644
35095086,47336
3552403000,3173
35095091,469
35095088,1247
35095093,35996
35095069,2744
35095077,6741
35095087,826
3519071028,4212
35095092,62822
3533403000,937
3533403016,6039
3536505014,35
3552403006,35559
3519071,
3536505000,93
